#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
BHP.AX,23-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,24-JAN-2000,,End Of Day,,19.509,19.7,19.35,19.39,1978287,,,Verified
BHP.AX,25-JAN-2000,,End Of Day,,19.007,19.437,19,19.437,3177987,,,Verified
BHP.AX,26-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,27-JAN-2000,,End Of Day,,19.258,19.4,19.03,19.2,4433236,,,Verified
BHP.AX,28-JAN-2000,,End Of Day,,19.1,19.27,18.9,19,6623431,,,Verified
BHP.AX,29-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,30-JAN-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,31-JAN-2000,,End Of Day,,18.714,18.81,18.48,18.745,3572005,,,Verified
BHP.AX,01-FEB-2000,,End Of Day,,18.822,18.85,18.45,18.458,2869382,,,Verified
BHP.AX,02-FEB-2000,,End Of Day,,18.45,19.1,18.45,18.7,3858483,,,Verified
BHP.AX,03-FEB-2000,,End Of Day,,18.731,18.95,18.17,18.5,4468485,,,Verified
BHP.AX,04-FEB-2000,,End Of Day,,18.5,18.75,18.3,18.32,3357287,,,Verified
BHP.AX,05-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,06-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,07-FEB-2000,,End Of Day,,18.208,18.95,18.2,18.804,2827976,,,Verified
BHP.AX,08-FEB-2000,,End Of Day,,18.7,19.05,18.7,19,2212790,,,Verified
BHP.AX,09-FEB-2000,,End Of Day,,19,19,18.3,18.35,2948080,,,Verified
BHP.AX,10-FEB-2000,,End Of Day,,18.1,18.1,17.5,17.583,9189981,,,Verified
BHP.AX,11-FEB-2000,,End Of Day,,17.674,17.8,17.5,17.53,4667880,,,Verified
BHP.AX,12-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,13-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,14-FEB-2000,,End Of Day,,17.404,17.5,17.07,17.12,5052670,,,Verified
BHP.AX,15-FEB-2000,,End Of Day,,17.207,17.85,17.19,17.8,3195763,,,Verified
BHP.AX,16-FEB-2000,,End Of Day,,18.108,18.3,16.96,17.1,4899596,,,Verified
BHP.AX,17-FEB-2000,,End Of Day,,17.307,17.35,16.91,17.011,6601241,,,Verified
BHP.AX,18-FEB-2000,,End Of Day,,16.8,16.85,16.35,16.6,5123225,,,Verified
BHP.AX,19-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,20-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,21-FEB-2000,,End Of Day,,16.371,17.14,16.371,17.05,2272811,,,Verified
BHP.AX,22-FEB-2000,,End Of Day,,17.136,17.2,16.55,16.808,3389152,,,Verified
BHP.AX,23-FEB-2000,,End Of Day,,16.85,17,16.35,16.35,3105384,,,Verified
BHP.AX,24-FEB-2000,,End Of Day,,16.4,16.88,16.4,16.84,3277733,,,Verified
BHP.AX,25-FEB-2000,,End Of Day,,16.975,17.08,16.5,16.755,5726265,,,Verified
BHP.AX,26-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,27-FEB-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,28-FEB-2000,,End Of Day,,16.75,16.75,15.93,16.12,3163203,,,Verified
BHP.AX,29-FEB-2000,,End Of Day,,16.28,16.28,15.84,16.092,4092668,,,Verified
BHP.AX,01-MAR-2000,,End Of Day,,16.09,16.5,16.05,16.2,4413847,,,Verified
BHP.AX,02-MAR-2000,,End Of Day,,16.25,16.64,16.25,16.4,4892445,,,Verified
BHP.AX,03-MAR-2000,,End Of Day,,16.76,16.77,16.35,16.35,4154689,,,Verified
BHP.AX,04-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,05-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,06-MAR-2000,,End Of Day,,16.762,16.762,15.787,15.787,2540728,,,Verified
BHP.AX,07-MAR-2000,,End Of Day,,15.68,16.5,15.6,16.5,4418486,,,Verified
BHP.AX,08-MAR-2000,,End Of Day,,16.5,16.6,16.02,16.07,4461870,,,Verified
BHP.AX,09-MAR-2000,,End Of Day,,16.159,17.03,16.1,16.95,2871658,,,Verified
BHP.AX,10-MAR-2000,,End Of Day,,17.1,17.45,17.1,17.228,3292550,,,Verified
BHP.AX,11-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,12-MAR-2000,,End Of Day,No Trades,,,,,,,,Verified
BHP.AX,13-MAR-2000,,End Of Day,,17.066,17.4,17.01,17.35,1901704,,,Verified
BHP.AX,14-MAR-2000,,End Of Day,,17.2,18.03,17.2,17.9,5145610,,,Verified
BHP.AX,15-MAR-2000,,End Of Day,,17.86,17.86,17.3,17.654,5652324,,,Verified
BHP.AX,16-MAR-2000,,End Of Day,,17.82,18.28,17.82,18.21,2893627,,,Verified
